Euro,1,1,1/1
Cream Puff,1,2,1/2
National Drinking Straw,1,3,1/3
Spaghetti,1,4,1/4
Bird,1,5,1/5
Beans,1,6,1/6
Tempura,1,7,1/7
Toffee,1,8,1/8
Static Electricity,1,9,1/9
House Plant,1,10,1/10
Milk,1,11,1/11
Pharmacist,1,12,1/12
Rubber Duck,1,13,1/13
Kite,1,14,1/14
Bagel,1,15,1/15
Spicy Food,1,16,1/16
Tulip,1,17,1/17
Thesaurus,1,18,1/18
"Martin Luther King, Jr.",1,19,1/19
Penguin,1,20,1/20
Squirrel,1,21,1/21
Hot Sauce,1,22,1/22
Rhubarb Pie,1,23,1/23
Lobster Thermidor,1,24,1/24
Opposite,1,25,1/25
Bubble Wrap,1,26,1/26
Chocolate Cake,1,27,1/27
Kazoo,1,28,1/28
Puzzle,1,29,1/29
Croissant,1,30,1/30
Zebra,1,31,1/31
Dark Chocolate,2,1,2/1
Tater Tots & Crepe,2,2,2/2
Golden Retriever,2,3,2/3
Sweater ,2,4,2/4
Fart,2,5,2/5
Bubble Gum,2,6,2/6
Fettuccine Alfredo,2,7,2/7
Opera,2,8,2/8
Pizza,2,9,2/9
Umbrella,2,10,2/10
Latte,2,11,2/11
Lost Penny,2,12,2/12
Radio,2,13,2/13
Ferris Wheel,2,14,2/14
Hippo,2,15,2/15
Almond,2,16,2/16
Pancake,2,17,2/17
Pluto,2,18,2/18
Whippet,2,19,2/19
Muffin,2,20,2/20
Sticky Bun,2,21,2/21
Cabbage,2,22,2/22
Bannana Bread,2,23,2/23
Trading Card,2,24,2/24
Clam Chowder,2,25,2/25
Carpe Diem,2,26,2/26
StrawBerry,2,27,2/27
Science,2,28,2/28
